country,confirmedCases,Deaths,Recoveries,activeCases,dateOf
Afghanistan,6664,169,778,5717,5/18/2020 2:32
Albania,946,31,715,200,5/18/2020 2:32
Algeria,7019,548,3507,2964,5/18/2020 2:32
Andorra,761,51,617,93,5/18/2020 2:32
Angola,48,2,17,29,5/18/2020 2:32
Antigua and Barbuda,25,3,19,3,5/18/2020 2:32
Argentina,8068,373,2569,5126,5/18/2020 2:32
Armenia,4472,60,1925,2487,5/18/2020 2:32
Australia,7054,99,6392,563,5/18/2020 2:32
Austria,16242,629,14563,1050,5/18/2020 2:32
Azerbaijan,3274,39,2015,1220,5/18/2020 2:32
Bahamas,96,11,42,43,5/18/2020 2:32
Bahrain,6956,12,2910,4034,5/18/2020 2:32
Bangladesh,22268,328,4373,17567,5/18/2020 2:32
Barbados,88,7,68,13,5/18/2020 2:32
Belarus,29650,165,9932,19553,5/18/2020 2:32
Belgium,55280,9052,14630,31598,5/18/2020 2:32
Belize,18,2,16,0,5/18/2020 2:32
Benin,339,2,83,254,5/18/2020 2:32
Bhutan,21,0,5,16,5/18/2020 2:32
Bolivia,4088,169,493,3426,5/18/2020 2:32
Bosnia and Herzegovina,2290,133,1436,721,5/18/2020 2:32
Botswana,25,1,17,7,5/18/2020 2:32
Brazil,241080,16118,94122,130840,5/18/2020 2:32
Brunei,141,1,136,4,5/18/2020 2:32
Bulgaria,2211,108,598,1505,5/18/2020 2:32
Burkina Faso,796,51,644,101,5/18/2020 2:32
Burma,184,6,97,81,5/18/2020 2:32
Burundi,23,1,15,7,5/18/2020 2:32
Cabo Verde,328,3,84,241,5/18/2020 2:32
Cambodia,122,0,122,0,5/18/2020 2:32
Cameroon,3105,140,1567,1398,5/18/2020 2:32
Canada,78332,5903,38563,33866,5/18/2020 2:32
Central African Republic,327,0,13,314,5/18/2020 2:32
Chad,503,53,117,333,5/18/2020 2:32
Chile,43781,450,19213,24118,5/18/2020 2:32
China,84054,4638,79306,110,5/18/2020 2:32
Colombia,15574,574,3751,11249,5/18/2020 2:32
Comoros,11,1,3,7,5/18/2020 2:32
Congo (Brazzaville),391,15,87,289,5/18/2020 2:32
Congo (Kinshasa),1455,61,270,1124,5/18/2020 2:32
Costa Rica,863,10,565,288,5/18/2020 2:32
Cote d'Ivoire,2109,27,1004,1078,5/18/2020 2:32
Croatia,2226,95,1936,195,5/18/2020 2:32
Cuba,1872,79,1495,298,5/18/2020 2:32
Cyprus,916,17,515,384,5/18/2020 2:32
Czechia,8475,298,5462,2715,5/18/2020 2:32
Denmark,11125,547,9425,1153,5/18/2020 2:32
Diamond Princess,712,13,651,48,5/18/2020 2:32
