countryId,confirmedCases,totalDeaths,totalRecoveries,activeCases,dateOf
1,5226,132,648,4446,5/14/2020 3:32
2,880,31,688,161,5/14/2020 3:32
3,6253,522,3058,2673,5/14/2020 3:32
4,760,49,576,135,5/14/2020 3:32
5,45,2,14,29,5/14/2020 3:32
6,25,3,19,3,5/14/2020 3:32
7,6879,329,2266,4284,5/14/2020 3:32
8,3718,48,1500,2170,5/14/2020 3:32
9,6989,98,6297,594,5/14/2020 3:32
10,15997,624,14304,1069,5/14/2020 3:32
11,2758,35,1789,934,5/14/2020 3:32
12,94,11,41,42,5/14/2020 3:32
13,5816,10,2205,3601,5/14/2020 3:32
14,17822,269,3361,14192,5/14/2020 3:32
15,85,7,65,13,5/14/2020 3:32
16,25825,146,7711,17968,5/14/2020 3:32
17,53981,8843,13937,31201,5/14/2020 3:32
18,18,2,16,0,5/14/2020 3:32
19,327,2,83,242,5/14/2020 3:32
20,15,0,5,10,5/14/2020 3:32
21,3148,142,339,2667,5/14/2020 3:32
22,2181,120,1228,833,5/14/2020 3:32
23,24,1,17,6,5/14/2020 3:32
24,190137,13240,78424,98473,5/14/2020 3:32
25,141,1,134,6,5/14/2020 3:32
26,2069,96,499,1474,5/14/2020 3:32
27,773,51,592,130,5/14/2020 3:32
28,181,6,79,96,5/14/2020 3:32
29,15,1,7,7,5/14/2020 3:32
30,289,2,61,226,5/14/2020 3:32
31,122,0,121,1,5/14/2020 3:32
32,2800,136,1543,1121,5/14/2020 3:32
33,73568,5425,35177,32966,5/14/2020 3:32
34,143,0,10,133,5/14/2020 3:32
35,372,42,78,252,5/14/2020 3:32
36,34381,346,14865,19170,5/14/2020 3:32
37,84024,4637,79246,141,5/14/2020 3:32
38,12930,509,3133,9288,5/14/2020 3:32
39,11,1,0,10,5/14/2020 3:32
40,333,11,53,269,5/14/2020 3:32
41,1169,50,148,971,5/14/2020 3:32
42,815,8,527,280,5/14/2020 3:32
43,1912,24,902,986,5/14/2020 3:32
44,2213,94,1834,285,5/14/2020 3:32
45,1810,79,1326,405,5/14/2020 3:32
46,905,17,449,439,5/14/2020 3:32
47,8269,290,5047,2932,5/14/2020 3:32
48,10865,533,8861,1471,5/14/2020 3:32
49,712,13,651,48,5/14/2020 3:32
50,1268,3,900,365,5/14/2020 3:32
51,16,0,15,1,5/14/2020 3:32
52,11196,409,3221,7566,5/14/2020 3:32
53,30486,2334,3433,24719,5/14/2020 3:32
54,10431,556,2486,7389,5/14/2020 3:32
55,1037,20,374,643,5/14/2020 3:32
56,522,6,13,503,5/14/2020 3:32
57,39,0,38,1,5/14/2020 3:32
58,1751,61,777,913,5/14/2020 3:32
59,187,2,48,137,5/14/2020 3:32
60,263,5,108,150,5/14/2020 3:32
61,18,0,14,4,5/14/2020 3:32
62,6054,284,4300,1470,5/14/2020 3:32
63,178184,27077,58786,92321,5/14/2020 3:32
64,1004,9,152,843,5/14/2020 3:32
65,23,1,10,12,5/14/2020 3:32
66,647,11,372,264,5/14/2020 3:32
67,174098,7861,148700,17537,5/14/2020 3:32
68,5408,24,514,4870,5/14/2020 3:32
69,2760,155,1374,1231,5/14/2020 3:32
70,21,0,13,8,5/14/2020 3:32
71,1342,29,121,1192,5/14/2020 3:32
72,2374,14,856,1504,5/14/2020 3:32
73,836,3,26,807,5/14/2020 3:32
74,113,10,41,62,5/14/2020 3:32
75,234,18,17,199,5/14/2020 3:32
76,12,0,2,10,5/14/2020 3:32
77,2255,123,237,1895,5/14/2020 3:32
78,3341,430,1102,1809,5/14/2020 3:32
79,1802,10,1780,12,5/14/2020 3:32
80,78055,2551,26400,49104,5/14/2020 3:32
81,15438,1028,3287,11123,5/14/2020 3:32
82,112725,6783,89428,16514,5/14/2020 3:32
83,3032,115,1966,951,5/14/2020 3:32
84,23401,1497,19470,2434,5/14/2020 3:32
85,16548,264,12232,4052,5/14/2020 3:32
86,222104,31106,112541,78457,5/14/2020 3:32
87,509,9,113,387,5/14/2020 3:32
88,16049,678,8920,6451,5/14/2020 3:32
89,582,9,392,181,5/14/2020 3:32
90,5417,32,2408,2977,5/14/2020 3:32
91,737,40,281,416,5/14/2020 3:32
92,10991,260,9762,969,5/14/2020 3:32
93,919,29,671,219,5/14/2020 3:32
94,11028,82,3263,7683,5/14/2020 3:32
95,1044,12,726,306,5/14/2020 3:32
96,19,0,14,5,5/14/2020 3:32
97,951,19,627,305,5/14/2020 3:32
98,878,26,236,616,5/14/2020 3:32
99,1,0,0,1,5/14/2020 3:32
100,213,20,101,92,5/14/2020 3:32
