country,confirmedCases,Deaths,Recoveries,activeCases,dateOf
Afghanistan,6402,168,745,5489,5/17/2020
Albania,933,31,714,188,5/17/2020
Algeria,6821,542,3409,2870,5/17/2020
Andorra,761,51,615,95,5/17/2020
Angola,48,2,17,29,5/17/2020
Antigua and Barbuda,25,3,19,3,5/17/2020
Argentina,7805,363,2534,4908,5/17/2020
Armenia,4283,55,1791,2437,5/17/2020
Australia,7044,98,6364,582,5/17/2020
Austria,16201,629,14524,1048,5/17/2020
Azerbaijan,3138,36,1944,1158,5/17/2020
Bahamas,96,11,42,43,5/17/2020
Bahrain,6747,12,2762,3973,5/17/2020
Bangladesh,20995,314,4117,16564,5/17/2020
Barbados,86,7,67,12,5/17/2020
Belarus,28681,160,9498,19023,5/17/2020
Belgium,54989,9005,14460,31524,5/17/2020
Belize,18,2,16,0,5/17/2020
Benin,339,2,83,254,5/17/2020
Bhutan,21,0,5,16,5/17/2020
Bolivia,3826,165,473,3188,5/17/2020
Bosnia and Herzegovina,2267,129,1355,783,5/17/2020
Botswana,24,1,17,6,5/17/2020
Brazil,233511,15662,89672,128177,5/17/2020
Brunei,141,1,136,4,5/17/2020
Bulgaria,2175,105,573,1497,5/17/2020
Burkina Faso,782,51,604,127,5/17/2020
Burma,182,6,96,80,5/17/2020
Burundi,15,1,7,7,5/17/2020
Cabo Verde,328,3,84,241,5/17/2020
Cambodia,122,0,122,0,5/17/2020
Cameroon,3105,140,1567,1398,5/17/2020
Canada,77206,5800,37832,33574,5/17/2020
Central African Republic,327,0,13,314,5/17/2020
Chad,474,50,111,313,5/17/2020
Chile,41428,421,18014,22993,5/17/2020
China,84044,4638,79293,113,5/17/2020
Colombia,14939,562,3587,10790,5/17/2020
Comoros,11,1,3,7,5/17/2020
Congo (Brazzaville),391,15,87,289,5/17/2020
Congo (Kinshasa),1455,61,270,1124,5/17/2020
Costa Rica,853,10,551,292,5/17/2020
Cote d'Ivoire,2061,25,987,1049,5/17/2020
Croatia,2224,95,1913,216,5/17/2020
Cuba,1862,79,1460,323,5/17/2020
Cyprus,914,17,515,382,5/17/2020
Czechia,8455,296,5422,2737,5/17/2020
Denmark,11056,543,9305,1208,5/17/2020
Diamond Princess,712,13,651,48,5/17/2020
Djibouti,1331,4,950,377,5/17/2020
Dominica,16,0,15,1,5/17/2020
Dominican Republic,12110,428,3726,7956,5/17/2020
Ecuador,32763,2688,3433,26642,5/17/2020
Egypt,11719,612,2950,8157,5/17/2020
El Salvador,1265,26,441,798,5/17/2020
Equatorial Guinea,594,7,22,565,5/17/2020
Eritrea,39,0,39,0,5/17/2020
Estonia,1770,63,934,773,5/17/2020
Eswatini,202,2,72,128,5/17/2020
Ethiopia,306,5,113,188,5/17/2020
Fiji,18,0,15,3,5/17/2020
Finland,6286,297,5000,989,5/17/2020
France,179630,27532,60562,91536,5/17/2020
Gabon,1320,11,244,1065,5/17/2020
Gambia,23,1,12,10,5/17/2020
Georgia,683,12,419,252,5/17/2020
Germany,175752,7938,152600,15214,5/17/2020
Ghana,5735,29,1754,3952,5/17/2020
Greece,2819,162,1374,1283,5/17/2020
Grenada,22,0,14,8,5/17/2020
Guatemala,1763,33,138,1592,5/17/2020
Guinea,2658,16,1133,1509,5/17/2020
Guinea-Bissau,969,4,26,939,5/17/2020
Guyana,117,10,43,64,5/17/2020
Haiti,358,20,29,309,5/17/2020
Holy See,12,0,2,10,5/17/2020
Honduras,2565,138,278,2149,5/17/2020
Hungary,3473,448,1371,1654,5/17/2020
Iceland,1802,10,1786,6,5/17/2020
India,90648,2871,34224,53553,5/17/2020
Indonesia,17025,1089,3911,12025,5/17/2020
Iran,118392,6937,93147,18308,5/17/2020
Iraq,3260,121,2126,1013,5/17/2020
Ireland,24048,1533,19470,3045,5/17/2020
Israel,16608,268,12855,3485,5/17/2020
Italy,224760,31763,122810,70187,5/17/2020
Jamaica,517,9,121,387,5/17/2020
Japan,16237,725,10338,5174,5/17/2020
Jordan,607,9,404,194,5/17/2020
Kazakhstan,5850,34,2980,2836,5/17/2020
Kenya,830,50,301,479,5/17/2020
Korea South,11050,262,9888,900,5/17/2020
Kosovo,944,29,690,225,5/17/2020
Kuwait,13802,107,3843,9852,5/17/2020
Kyrgyzstan,1117,14,783,320,5/17/2020
Laos,19,0,14,5,5/17/2020
Latvia,997,19,662,316,5/17/2020
Lebanon,902,26,247,629,5/17/2020
Lesotho,1,0,0,1,5/17/2020
Liberia,223,20,116,87,5/17/2020
Libya,65,3,28,34,5/17/2020
Liechtenstein,82,1,55,26,5/17/2020
Lithuania,1534,55,988,491,5/17/2020
Luxembourg,3930,104,3699,127,5/17/2020
Madagascar,283,0,114,169,5/17/2020
Malawi,65,3,24,38,5/17/2020
Malaysia,6872,113,5512,1247,5/17/2020
Maldives,1078,4,58,1016,5/17/2020
Mali,835,48,479,308,5/17/2020
Malta,546,6,450,90,5/17/2020
Mauritania,40,4,7,29,5/17/2020
Mauritius,332,10,322,0,5/17/2020
Mexico,47144,5045,31848,10251,5/17/2020
Moldova,5934,207,2344,3383,5/17/2020
Monaco,96,4,87,5,5/17/2020
Mongolia,135,0,20,115,5/17/2020
Montenegro,324,9,311,4,5/17/2020
Morocco,6741,192,3487,3062,5/17/2020
Mozambique,129,0,43,86,5/17/2020
MS Zaandam,9,2,0,7,5/17/2020
Namibia,16,0,13,3,5/17/2020
Nepal,291,1,36,254,5/17/2020
Netherlands,44070,5689,167,38214,5/17/2020
New Zealand,1499,21,1433,45,5/17/2020
Nicaragua,25,8,7,10,5/17/2020
Niger,889,51,689,149,5/17/2020
Nigeria,5621,176,1472,3973,5/17/2020
North Macedonia,1762,98,1267,397,5/17/2020
Norway,8237,232,32,7973,5/17/2020
Oman,5029,21,1436,3572,5/17/2020
Pakistan,38799,834,10880,27085,5/17/2020
Panama,9449,269,6080,3100,5/17/2020
Papua New Guinea,8,0,8,0,5/17/2020
Paraguay,778,11,198,569,5/17/2020
Peru,88541,2523,28272,57746,5/17/2020
Philippines,12305,817,2561,8927,5/17/2020
Poland,18257,915,7175,10167,5/17/2020
Portugal,28810,1203,3822,23785,5/17/2020
Qatar,30972,15,3788,27169,5/17/2020
Romania,16704,1094,9574,6036,5/17/2020
Russia,272043,2537,63166,206340,5/17/2020
Rwanda,289,0,178,111,5/17/2020
Saint Kitts and Nevis,15,0,14,1,5/17/2020
Saint Lucia,18,0,18,0,5/17/2020
Saint Vincent and the Grenadines,17,0,14,3,5/17/2020
San Marino,653,41,198,414,5/17/2020
Sao Tome and Principe,235,7,4,224,5/17/2020
Saudi Arabia,52016,302,23666,28048,5/17/2020
Senegal,2429,25,949,1455,5/17/2020
Serbia,10496,228,4479,5789,5/17/2020
Seychelles,11,0,10,1,5/17/2020
Sierra Leone,462,29,106,327,5/17/2020
Singapore,27356,22,8342,18992,5/17/2020
Slovakia,1493,28,1151,314,5/17/2020
Slovenia,1465,103,272,1090,5/17/2020
Somalia,1357,55,148,1154,5/17/2020
South Africa,14355,261,6478,7616,5/17/2020
South Sudan,236,4,4,228,5/17/2020
Spain,230698,27563,146446,56689,5/17/2020
Sri Lanka,960,9,520,431,5/17/2020
Sudan,2289,97,222,1970,5/17/2020
Suriname,10,1,9,0,5/17/2020
Sweden,29677,3674,4971,21032,5/17/2020
Switzerland,30572,1879,27400,1293,5/17/2020
Syria,51,3,36,12,5/17/2020
Taiwan,440,7,389,44,5/17/2020
Tajikistan,1322,36,0,1286,5/17/2020
Tanzania,509,21,183,305,5/17/2020
Thailand,3025,56,2855,114,5/17/2020
Timor-Leste,24,0,24,0,5/17/2020
Togo,298,11,99,188,5/17/2020
Trinidad and Tobago,116,8,107,1,5/17/2020
Tunisia,1037,45,807,185,5/17/2020
Uganda,227,0,63,164,5/17/2020
Ukraine,17858,497,4906,12455,5/17/2020
United Arab Emirates,22627,214,7931,14482,5/17/2020
